Item,Division
Cornice  Specialty Siding,"WOOD, PLASTICS, AND COMPOSITES"
 CABINETS,"WOOD, PLASTICS, AND COMPOSITES"
Wood and Plastics,"WOOD, PLASTICS, AND COMPOSITES"
Garage Steel (Incl 6 entry bollards CMU clips and pipe protection),METALS
Metal Fabrication,METALS
Perimeter Fence (6 steel fence at site perimeter painted),METALS
 Anchor Bolts  Drill & Epoxy Hold Downs  Allowance,METALS
Entry Canopy Structures  Flecha and North America,METALS
Structural Steel Labor&Material,METALS
Vehicular Gates [(3) 25w x 6h dual vehicular slide gates],METALS
Miscellaneous Steel,METALS
Exterior Metal Panels,METALS
Private Yard Fencing (4 steel yard fence),METALS
Metal Miscellaneous,METALS
Structural & Miscellaneous Steel,METALS
Structural Steel (Club Leasing and Paseo),METALS
testing testing,METALS
Structural Steel Materials,METALS
Structural  Frame Steel,METALS
Metal Stairs & Rails  Carport,METALS
Structural Steel Erection,METALS
Shell Structural Steel and Erection (includes erection of tiltwall),METALS
Alternate  Delete galvanized steel angle at overhead door jambs,METALS
PreFab Aluminum Canopies,METALS
Garage Steel,METALS
Structural Steel Framing,METALS
Cross Lamintate Timber Installation,METALS
Metal,METALS
Sturctural Steel,METALS
Structrual Steel,METALS
Alternate  Provide primed and painted bollards ILO galvanized,METALS
Decorative Metal Railings,METALS
Shell Miscellaneous Steel,METALS
Metal  Façade,METALS
Misc Steel,METALS
STRUCT STEEL  SITE,METALS
Hanrdrails,METALS
VE  Change all Handrails from heavy gauge to standard railing,METALS
Metal  Shopdrawings,METALS
Roof Davits,METALS
Railing,METALS
Canopies,METALS
HVAC Roof Screen,METALS
MISCELLANEOUS METALS,METALS
Light Gauge Metal Framing (coldformed steel studs),METALS
Hand Rail ,METALS
Pool Fencing (4 steel fencing at pool area),METALS
MISC METALS,METALS
Dog Park Fencing (4 steel dog park fence),METALS
Light Gauge Steel in Basement,METALS
Matting Brace Rental and Removal,METALS
Structural Steel  Estimate per Austin Iron,METALS
Additional Stairs at Garage (3 Sets) 1 level,METALS
Steel and Metals,METALS
Metal Panels and Engineering,METALS
Canopy  Allowance,METALS
Steel Package,METALS
Garage Steel (CMU wall anchors),METALS
Decorative Metal Screens  Parking Garage,METALS
Steel Fabrication,METALS
Metal Building System  Delivered,METALS
Misc Steel,METALS
Light Gauge and Cold Rolled Framing and Gypsum Drywall,METALS
ACM Panels,METALS
Canopies Stairs Railings & Awnings,METALS
Roof Access Ladder,METALS
Balcony Rails  2x2 mesh,METALS
Structural Steel Joists & Deck,METALS
Dumpsters Gates,METALS
Handrails & Railings (vertical picket handrails with double top runner),METALS
PreEngineered Steel,METALS
Steel Reinforcement at Windows  Allowance,METALS
Ladders,METALS
Structural Steel Fabrication,METALS
Metal Stairs & Rails,METALS
Structural & Misc Steel,METALS
Handrails & Railings (incl balcony handrails & site railing),METALS
VAN CANOPIES,METALS
Carports,METALS
Decorative Metal (Storefront Misc),METALS
Handrails & Railings (vertical pickets and 15 double top runners),METALS
Amenities (Includes spiral staircase at Fitness),METALS
Steel Planter,METALS
Steel Railings,METALS
Special Construction (Canopy),METALS
Stairs and Rails (precast concrete treads),METALS
METALS TOTAL,METALS
Elevator Beams,METALS
Steel Erection,METALS
PEMB  Material Cost,METALS
 Structural Steel  Furnish Plates & Bolts  Allowance,METALS
Skyscape Canopies,METALS
INTERIOR GUARDRAIL  ALLOWANCE,METALS
Stairs (steel risers with precast treads and wood landings),METALS
Louver,METALS
Stairs and Rails,METALS
METALS  POOL AREA #1,METALS
Structural Steel  Phase 2  Allowance,METALS
Aluminum Canopies and Sunshades,METALS
Comparable Pricing  METALS,METALS
Structural,METALS
Steel Stairs,METALS
structural support beams at Windows,METALS
Miscellanious Steel (Embeds Bollards Etc),METALS
Storage Units,METALS
Misc,METALS
Structural Steel  Joists  Deck  Misc,METALS
Metal Erectors,METALS
Juliet Balconies,METALS
Stair Nosings,METALS
APT  PreFab Stairs Rails and Installation Labor,METALS
Decorative Steel,METALS
Guard Shack  Flecha & North America,METALS
Metal Canopies,METALS
Aluminum Railings,METALS
Miscellaneous Steel Labor,METALS
Added level of Barrier Cables,METALS
Omit Factory Sanding of CLT,METALS
Stairs and Rail Systems (Allowance),METALS
Steel,METALS
Finish Steel Work,METALS
Metal Building System  Erected,METALS
Metal Fabrications Railings and Decorative Metals,METALS
Div 5  Metals  Comparable Pricing,METALS
Metal Building,METALS
VE  Delete Mechanical Roof Screen,METALS
Handrails & Railings,METALS
Hambro Joists (2nd Floor & Roof),METALS
Decorative Railing @ Balcony,METALS
Structural Metal Framing and Erection,METALS
Cross Laminated Timbers,METALS
Miscellaneous Steel (bollards and gates at trash enclosures),METALS
Structural Steel & PEMB Erection,METALS
Roof Railings,METALS
Structural Steel  Allowance,METALS
Misc & Architectural Steel,METALS
Architectural Steel  Allowance,METALS
Buildings,METALS
Garage Framing (metal framing),METALS
Stairs (steel stairs open risers channel stringers precast treads),METALS
Stairs,METALS
Misc Metals,METALS
Balcony Railing,METALS
STRUCT STEEL  BUILDING,METALS
Canopies and Sunshades,METALS
#6  Install 2 missing bar joists for 2nd flr,METALS
Handrails & Railings (vertical pickets w double top runners),METALS
Metal Fabrications,METALS
STRUCTURAL STEEL,METALS
Metals,METALS
Structural Steel (steel structures at club house),METALS
Carved Stone Columns (Labor Only),MASONRY
Masonry  Stone,MASONRY
CMU Shafts,MASONRY
Fireplace Sorrounds,MASONRY
Build wing wall around Mechanical Yard behind Garage (Allowance),MASONRY
Masonry Labor,MASONRY
Masonry  Phase 2  Allowance,MASONRY
Site Masonry,MASONRY
Stucco (at clubhouse only),MASONRY
Masonry CMU Brick  Commercial Building,MASONRY
Stone (Alternate Included: Austin Natural Stone),MASONRY
Concrete Unit Masonry  Garage,MASONRY
Brick (king size brick and thin brick veneer),MASONRY
Masonry  Campbell,MASONRY
Build wing wall at Garage with 8 CMU block,MASONRY
Bricks,MASONRY
Dumpster Enclosure Allowance,MASONRY
Patch  Repair Exterior Brick  Allowance,MASONRY
Trash Compactor Enclosure,MASONRY
Stone (Includes cast stone band only),MASONRY
Stone Masonry Brick Veneer,MASONRY
Brick (ACME city scape modular thin brick),MASONRY
Masonry Exterior (Labor & Material),MASONRY
MASONRY TOTAL,MASONRY
Brick veneer,MASONRY
 Stucco  Trash Enclosure  Allowance,MASONRY
Carved Stone Columns (353),MASONRY
Carved Stone Columns Fireplace Surrounds,MASONRY
 Masonry  Bldg Entries,MASONRY
Div 4  Masonry  Comparable Pricing,MASONRY
Comparable Pricing  MASONRY,MASONRY
Brick,MASONRY
Masonry  Stone Works,MASONRY
Masonry,MASONRY
Manufactured Masonry Material,MASONRY
POOL AREA #1  MASONRY,MASONRY
Masonry & Stucco ,MASONRY
Stone,MASONRY
Stucco  EIFS,MASONRY
APT  Materials and Labor,MASONRY
Powerwashing,MASONRY
Garage Masonry (8 CMU),MASONRY
Plaster & Stucco,MASONRY
CLUB  Labor,MASONRY
CMU  Garage,MASONRY
Masonry at Trash Enclosure,MASONRY
Brick (king size brick includes thin brick),MASONRY
Lath and Plaster  EIFS,MASONRY
Perimeter Bumper Wall,MASONRY
Hardscape Masonry,MASONRY
Stone Flatwork Material,MASONRY
Summer Kitchen built with CMU block stucco and stainless doors (Estimate),MASONRY
Misc Masonry,MASONRY
Cut Stone Material,MASONRY
EIFS (exterior integrated finish system),MASONRY
Stone (white limestone sawn top and bottom 4 6 & 8 height),MASONRY
Stone Brick Tile  Allowance,MASONRY
CLUB  Materials,MASONRY
Stucco  EIFS  Phase 2  Allowance,MASONRY
Prep exterior areas to receive large format tile and stone,MASONRY
Columns at Iron Fence,MASONRY
Brick Veneer (king size bricks w caststone at 3rd flr balconies),MASONRY
Stucco (Parex 3 coat 34 stucco acrylic finish with Integral color),MASONRY
Exterior Skin,MASONRY
Building Masonry,MASONRY
Lumber Package,MASONRY
Interior Stone Floors,MASONRY
Elevator Shafts,MASONRY
Stone  Stucco,MASONRY
Stone (8x16 full bed Austin limstone veneer),MASONRY
Brick and CMU,MASONRY
Masonry Material,MASONRY
CMU,MASONRY
CMU Block  Dumpster Enclosure,MASONRY
Underpinning,MASONRY
CMU (Dumpster Enclosure),MASONRY
Exterior Stone Floors,MASONRY
Office  Stucco Veneer,MASONRY
MASONRY  POOL AREA #1,MASONRY
HardiBoard  Stucco,MASONRY
CMU   Trash Enclosures,MASONRY
 Stucco  Bldg Façade,MASONRY
Plastering  Stucco,MASONRY
Dumpster Enclosure (Excluded),MASONRY
Stone Veneer,MASONRY
Brick (king size brick),MASONRY
Garage Masonry (CMU at storage maintenance elevator),MASONRY
conventional 3coat stucco system w elastomeric paint,MASONRY
6 CMU Block for Stucco,MASONRY
Stone Exterior,MASONRY
Masonry CMU Brick  Hotel,MASONRY
Mantles  Allowance,MASONRY
Concrete Foundations and Flatwork,CONCRETE
Shoring Engineering,CONCRETE
Gypcrete Fill (34 gypcrete with 18 sound mat at hard surface areas),CONCRETE
GYPCRETE INTERIOR FILL  CORRIDORS,CONCRETE
Gypcrete Fill,CONCRETE
Hoisting  General (Includes mobile crane  5 months),CONCRETE
Slab (6),CONCRETE
Driveway Allowance,CONCRETE
GYPCRETE INTERIOR FILL,CONCRETE
Turnkey Concrete  Commercial Building,CONCRETE
CIP Building Concrete,CONCRETE
Foundation and Slab,CONCRETE
Installation of Foundation per Structural plans,CONCRETE
Caissons,CONCRETE
Foundations,CONCRETE
Concrete Polishing and Sealing (NIC),CONCRETE
Comparable Pricing  CONCRETE,CONCRETE
Conc Seep wall  24 thick  Allowance,CONCRETE
TiltWall Concrete,CONCRETE
Concrete Parking  Asphalt Parking,CONCRETE
Flatwork (Porches and Garage Floor),CONCRETE
CONCRETE TOTAL,CONCRETE
Concrete SlabOnGrade,CONCRETE
Subgrade Prep  Concrete Paving  Flecha Lane,CONCRETE
Allowance #9  Clean and Patch Slabs including Terrazo,CONCRETE
Structural Concrete  Turnkey,CONCRETE
Concrete Pump,CONCRETE
Pier Casing  Allowance,CONCRETE
Concrete Work,CONCRETE
Driveway  Concrete,CONCRETE
Concrete Testing,CONCRETE
 CONCRETE EXTERIOR FILL,CONCRETE
Dowel Baskets,CONCRETE
Foundation Contract,CONCRETE
Tilt Wall,CONCRETE
Garage Structural Repairs  High Priority  Allowance,CONCRETE
Added Pier Depth  Allowance,CONCRETE
Concrete Site Work,CONCRETE
CLUB  Footings and Concrete Slab,CONCRETE
Specialty Building Concrete,CONCRETE
Reinforcing,CONCRETE
Foundation  Slab,CONCRETE
Exterior Concrete Decking,CONCRETE
SlabOnGrade,CONCRETE
Forms Rental,CONCRETE
House Foundation,CONCRETE
Slab Hardener,CONCRETE
Garage Structural Repairs  Medium Priority  Allowance,CONCRETE
Structural Concrete,CONCRETE
Building Foundation & Grade Beams,CONCRETE
Tower Crane,CONCRETE
 Foundations  Piers,CONCRETE
Mesh,CONCRETE
TILTWALL PANELS,CONCRETE
Colored Concrete Topping at Clubhouse Decks,CONCRETE
CONCRETE SLABS,CONCRETE
Gypcrete,CONCRETE
Concrete Material Escalation,CONCRETE
Deep Foundation,CONCRETE
Elevated Concrete,CONCRETE
Cast In Place Concrete,CONCRETE
Precast Concrete  Parking Garage,CONCRETE
7Story Structure; 4 Levels PG w3 Levels of Office,CONCRETE
Lightweight Concrete,CONCRETE
Labor Foundation,CONCRETE
 Precast  Tilt Wall Panels,CONCRETE
Div 3  Concrete  Comparable Pricing,CONCRETE
Rebar Spacers,CONCRETE
Sidewalk,CONCRETE
SOG,CONCRETE
 Office,CONCRETE
Building Concrete  Foundations,CONCRETE
Garage Precast Concrete,CONCRETE
Building Concrete,CONCRETE
Concrete Wall Panels (insulated precast),CONCRETE
Subgrade Prep  Concrete Paving  North America,CONCRETE
 GYPCRETE INTERIOR FILL,CONCRETE
SOG CONCRETE,CONCRETE
Installation of equipment pads,CONCRETE
Structural PreCast Tees  Shoring of Garage,CONCRETE
#1  Concrete Patio and Elevator Pit,CONCRETE
Concrete Parking Structure  Piers  Walls,CONCRETE
Rebar Deduct  VE Log,CONCRETE
Site Concrete (Sidewalks and AC Pads),CONCRETE
Rebar,CONCRETE
Reinforcing Steel,CONCRETE
Building Slab,CONCRETE
APT  Lightweight Concrete in Breezeways,CONCRETE
TiltWall,CONCRETE
FOOTINGS AND FOUNDATIONS,CONCRETE
Gypcrete Fill (Includes 1 gypcrete on 14 sound mat),CONCRETE
Labor Foundation – Outsourcing,CONCRETE
 Building  SlabonGrade and Porch Slabs,CONCRETE
Estimate for steps to Basketball court,CONCRETE
Slab on Grade,CONCRETE
Flatwork,CONCRETE
     Asbestos Monitoring,CONCRETE
Garage CIP Concrete,CONCRETE
CastIn_Place Concrete,CONCRETE
STRUCTURED PARKING,CONCRETE
Foundation,CONCRETE
TiltWall Erection,CONCRETE
APT  Footings and Concrete Slab,CONCRETE
Crane Mats,CONCRETE
Building Concrete  Tiltwall,CONCRETE
Basement Walls,CONCRETE
Covered Walkways (along Burnet Lane),CONCRETE
Concrete,CONCRETE
Gypsum Floor Topping,CONCRETE
Concrete Walls and Slabs,CONCRETE
Drilled Piers,CONCRETE
Basement slabongrade,CONCRETE
Slab Footings & Porches,CONCRETE
Slab On Grade  TiltWall Panels (incl Dock Pits and Truck Wells),CONCRETE
Tilt Wall Reinforcing,CONCRETE
Concrete Foundations,CONCRETE
Vapor Barrier,CONCRETE
Tower crane foundation,CONCRETE
Hercuwall (includes wall insulation),CONCRETE
 Garage,CONCRETE
Structrual Concrete & Foundation,CONCRETE
Consumables,CONCRETE
Concrete (Foundations Slabs & Roof),CONCRETE
Lightweight Concrete (breezeways balconies & stair landings),CONCRETE
Allowance #11  Voluntary  Patch Beams and Columns,CONCRETE
CIP Concrete,CONCRETE
Lightweight Concrete (corridors and balconies broom finished),CONCRETE
 Building  Concrete Porch Slabs  Allowance,CONCRETE
Parking Deck (2 levels underground parking garage),CONCRETE
Insulated PreCast Wall Panels,CONCRETE
Elevated Concrete Deck,CONCRETE
Building Concrete  Slabs,CONCRETE
Structrual Concrete,CONCRETE
Labor Vertical,CONCRETE
Slab  6,CONCRETE
Geopiers  Foundation,CONCRETE
Material Hoist,CONCRETE
Estimate for added footage to foundation,CONCRETE
Site Concrete (Paving and Curbs),CONCRETE
Tilt Wall Panels,CONCRETE
TiltWall Braces,CONCRETE
Cast In Place Concrete (Parking Garage),CONCRETE
APT  Gypcrete,CONCRETE
Turnkey Concrete  Hotel,CONCRETE
Gypsum Underlayment,CONCRETE
Turnkey Concrete  Parking Garage,CONCRETE
Concrete Material,CONCRETE
Misc Concrete,CONCRETE
Labor Vertical – Outsourcing,CONCRETE
Hoisting  General (Allowance for rubber tire crane),CONCRETE
Slabongrade  PostTensioned,CONCRETE
Termite Protection,CONCRETE
CONCRETE WALL PANELS,CONCRETE
Concrete Cutting & Coring,CONCRETE
Building Foundations and Slab,CONCRETE
 SOG,CONCRETE
Concrete Slab,CONCRETE
Concrete  Phase 2  Allowance,CONCRETE
CONCRETE EXTERIOR FILL,CONCRETE
Concrete Slab Polishing,CONCRETE
Cementitous Decks & Toppings,CONCRETE
 Slab on Grade Including Dock Pits,CONCRETE
Construction Equipment  Tower Crane  Trucks  Forklift,CONCRETE
Concrete TiltWall,CONCRETE
Site Concrete Masonry Plaster & Waterproofing,CONCRETE
Telephone & Internet ,OWNER SOFT COSTS
Architecture & Engineering Fees,OWNER SOFT COSTS
Architecture & Engineering Fees,OWNER SOFT COSTS
Marketing ,OWNER SOFT COSTS
Exterior Building & Monument Signs ,OWNER SOFT COSTS
Comparable Pricing  OWNER SOFT COSTS,OWNER SOFT COSTS
Data cabling trim and terminate,OWNER SOFT COSTS
Construction Material Testing,OWNER SOFT COSTS
Security Cameras (Mat  Install) ,OWNER SOFT COSTS
Drive Thru Equipment Setup ,OWNER SOFT COSTS
Test Cost,OWNER SOFT COSTS
HVAC Mechanical System ,OWNER SOFT COSTS
OWNER SOFT COSTS TOTAL,OWNER SOFT COSTS
Payroll  Training ,OWNER SOFT COSTS
Muzak (Music System Incl Speakers) ,OWNER SOFT COSTS
Commercial SS Tables & 3Comp Sink  OTHER ,OWNER SOFT COSTS
Test,OWNER SOFT COSTS
CONSTRUCTION STAKING,OWNER SOFT COSTS
Electric,OWNER SOFT COSTS
Public Area PC & Printer ,OWNER SOFT COSTS
FF&E & Furnishings,OWNER SOFT COSTS
Site Security,OWNER SOFT COSTS
adjustment,OWNER SOFT COSTS
Commercial Refrigerator  ALL EQUIPMENT,OWNER SOFT COSTS
Bank Inspections,OWNER SOFT COSTS
TDLR  ADA Inspections,OWNER SOFT COSTS
Utilities,SITEWORK
Street Sweeping  Revegetation,SITEWORK
 Offsite Paving (deceleration lane at Howard Lane),SITEWORK
Sitework Testing Inspections and Samples  (Moved to Division 1),SITEWORK
Lime Stabilization  Fine Grade,SITEWORK
Water Lines,SITEWORK
Water Well,SITEWORK
 Public Sidewalks & Ramps,SITEWORK
New Low Retaining Wall  East Side,SITEWORK
Dog Park Fence,SITEWORK
Landscaping & Irrigation  Allowance,SITEWORK
Water and fire utility system,SITEWORK
Environmental,SITEWORK
 Landscape Pavers (GrassPave pavers),SITEWORK
 Water  Offsite,SITEWORK
Modular Block Walls,SITEWORK
Site Maintenance,SITEWORK
 Sanitary Sewer ‐ Offsite,SITEWORK
Excavation  Site Grading,SITEWORK
Structure Demolition,SITEWORK
Erosion and Sedimentation Control,SITEWORK
Perimeter Fence,SITEWORK
Stone Paving,SITEWORK
Bollards  Striping  Exterior Signage,SITEWORK
Drainage Other,SITEWORK
Domestic Water,SITEWORK
 Landscape Pavers,SITEWORK
Shotcrete,SITEWORK
Monument Signs & Columns,SITEWORK
Ornamental Iron Gate,SITEWORK
Detention Ponds,SITEWORK
French Drains,SITEWORK
Storm Drain  Onsite (HDPE),SITEWORK
Dog Park,SITEWORK
Asbestos Abatement,SITEWORK
 Storm Detention Structures (incl CIP conc rain garden walls  slabs),SITEWORK
 Storm Retention Structures,SITEWORK
Sedimentation and Erosion Controls,SITEWORK
Offsite Paving,SITEWORK
Allowance #14  Temporary Soil Retention System,SITEWORK
Storm Sewer (plus SWM Basins),SITEWORK
Vehicular Gates,SITEWORK
 Retaining Walls (Includes 3 Limestone gravity retaining walls),SITEWORK
Storm Drain  Offsite (includes 550 LF of 4x2 box culvert),SITEWORK
 EARTHWORK,SITEWORK
Dewatering  Allowance,SITEWORK
Storm Sewer,SITEWORK
Misc Items  Site,SITEWORK
Earthwork & Building Pads,SITEWORK
All Site Lighting Poles Bases etc,SITEWORK
Layou & Survey,SITEWORK
OffSite Demolition,SITEWORK
Grading,SITEWORK
Phase 2  Drives  Park,SITEWORK
Wood bench  Western red cedar,SITEWORK
Site Work  Clearing  Demo  Excavation,SITEWORK
Structural Excavation and Backfill,SITEWORK
Sanitary Sewer,SITEWORK
OnSite Landscaping,SITEWORK
Temporary Fence and Erosion Control,SITEWORK
Retaining Walls (stone gravity walls along North perimeter),SITEWORK
Soil Correction  Allowance,SITEWORK
LANDSCAPE  IRRIGATION,SITEWORK
Dust & Erosion Control,SITEWORK
Site Preparation  Labor ,SITEWORK
Earthwork & Subgrade Preparation,SITEWORK
StripingSignageWheel Stops,SITEWORK
Surveys,SITEWORK
Mass Grading (cut  fill),SITEWORK
Storm Detention Structures,SITEWORK
POOL AREA #1  FENCING,SITEWORK
LD Asphalt (incl Mod CR6),SITEWORK
Gas Yard Line,SITEWORK
LIME DRY SITE FILLS,SITEWORK
 Hardscape,SITEWORK
Fire Loop and Service,SITEWORK
New Service,SITEWORK
Small Shrubs  1 gal 12 oc,SITEWORK
Rough Grade,SITEWORK
Storm Drain Piping,SITEWORK
Existing Conditions Assessment,SITEWORK
UNSUITABLE SOILS (ALLOWANCE),SITEWORK
Curbs & Gutters,SITEWORK
Site Rails,SITEWORK
Site Concrete  SubLabor,SITEWORK
Additional Haul Off  Misc,SITEWORK
 Site Utilities  Storm,SITEWORK
Termite Protection  Allowance,SITEWORK
 Landscaping Contract,SITEWORK
 Erosion Control  Onsite (includes constrution tree watering),SITEWORK
Stone Bench,SITEWORK
LAND DEVELOPMENT  OFFSITE,SITEWORK
Sites  Primary  Secondary & Telecomm Conduits,SITEWORK
Site Utility Services (includes $50000 Allowance for subgrade drainage),SITEWORK
Concrete Pavement,SITEWORK
 Water  OffSite,SITEWORK
Curbs ,SITEWORK
 Specialty Paving,SITEWORK
Pavement Marking and Signage,SITEWORK
Bollards,SITEWORK
Site and Street Furnishings  Bike Racks,SITEWORK
Water Quality Pond  Drainage,SITEWORK
 Main Service and Switchgear,SITEWORK
Conduits for Oncor (power),SITEWORK
Concrete Sidewalk Concrete Curbs All Site Concrete etc,SITEWORK
Pavement Markings  Striping,SITEWORK
OnSite Utilities,SITEWORK
Excav Bkfl & Compact for Structures,SITEWORK
Landscaping & Irrigation (Allow),SITEWORK
ENTRANCE WALL & SIGNAGE  Allowance,SITEWORK
 Vehicular Gates (gates at site entry),SITEWORK
LandscapingHardscape,SITEWORK
Landscaping,SITEWORK
Pavement Markings Bike Racks and Wheel Stops,SITEWORK
Unforseen and buried concrete hauloff,SITEWORK
Landscape Irrigation Material,SITEWORK
Demo Low Retaining Wall  East Side,SITEWORK
Water  Offsite (includes tieins and meter assemblies),SITEWORK
Vertical Curb & Gutter Single Curb,SITEWORK
Crushed Gravel Drive  Motor Court and Guest Parking,SITEWORK
Site Demolition,SITEWORK
Site Amenities,SITEWORK
Clear and Grub,SITEWORK
 Street Sweeping  Reveg,SITEWORK
#23  Clean and Prep  Pour 4 concrete drive parking curbs,SITEWORK
Curb & Gutter  Flecha Lane,SITEWORK
Dewatering (Allowance),SITEWORK
CO #1  36 Additional Bollards,SITEWORK
Asphalt Widening,SITEWORK
SWPP Plan,SITEWORK
Erosion Control  Offsite,SITEWORK
All Site Sealants etc,SITEWORK
ExcavationHaul Off,SITEWORK
Site Improvements,SITEWORK
 Demolition  Abatement (Abatement excluded per Exhibit B  #12),SITEWORK
SITE LIGHTING,SITEWORK
Includes Allowance of $40000 for Detention Pond Pump,SITEWORK
Offsite Pavement Striping,SITEWORK
Fire Pit Area,SITEWORK
Comparable Pricing  SITEWORK,SITEWORK
HARD DIG  ALLOWANCE,SITEWORK
Concrete pavement entry drive,SITEWORK
Transformer Pad,SITEWORK
Dumpster Enclosure,SITEWORK
 Offsite Pavement Striping,SITEWORK
CompactorDumpster Enclosure,SITEWORK
Perimeter Fence and Pedestrian Gates,SITEWORK
Detention Pond Fence,SITEWORK
Alternate  Provide 100% Sod in lieu of Hydromulch,SITEWORK
PVC coated fencing,SITEWORK
 Site Concrete  Curbs,SITEWORK
Fences and Gates  Security Fencing,SITEWORK
Planting Irrigation Systems,SITEWORK
 Site  Sidewalks  Allowance,SITEWORK
 Hardscape Masonry,SITEWORK
UNDERGROUND UTILITIES,SITEWORK
Detention Pond and Septic System,SITEWORK
Fence  Gates,SITEWORK
Demolition at OH Door area  Flecha Lane,SITEWORK
 Private Sidewalks & AC Pads (Sidewalks & 8 dumpster pad),SITEWORK
Concrete Paving atop Mod CR6 (6),SITEWORK
5th & Baylor Improvements  Allowance,SITEWORK
Paving and Surfacing,SITEWORK
 Public Sidewalks & Ramps (Includes city sidewalk along Howard and curb at offsite paving),SITEWORK
Detention Pond Stabilization,SITEWORK
Vehicle Heght Clearance Detector Bases ,SITEWORK
 Site Utilities  Gas,SITEWORK
 Storm Drain ‐ Offsite,SITEWORK
Add Landscaping Allowance Below Line,SITEWORK
Paving Specialties  Striping,SITEWORK
Mobilization  Clearing  Silt Fence  Construction Entry,SITEWORK
SWPPP Inspections,SITEWORK
Specialty Paving (grass pavers at fire lane),SITEWORK
Exterior Patios and Living Spaces,SITEWORK
FENCES AND GATES,SITEWORK
 Earthwork  Building Pads,SITEWORK
Selective Demolition,SITEWORK
Culverts,SITEWORK
Earthwork SWPPP Paving,SITEWORK
Hardscape (includes pet stations planting pots & artificial turf),SITEWORK
Wet Utilities  Storm water Piping and Connections,SITEWORK
Landscaping & Irrigation,SITEWORK
Site Utilities  Detention Pond,SITEWORK
Street light relocation,SITEWORK
Public Infrastructure,SITEWORK
Sidewalks,SITEWORK
Storm Drainage,SITEWORK
Excavation  Embankment  Flecha Lane,SITEWORK
OnSite Services,SITEWORK
Data  Irrigation Sleeving (includes ERRC conduit only),SITEWORK
Dumpster Gate and Frame,SITEWORK
Brick Pavers,SITEWORK
Site Wall  Fencing  Rail,SITEWORK
Georgetown Power Requirements (conductors and pathways),SITEWORK
Excavation  Clearing,SITEWORK
Add new 2 and 1 12 water meters  City of Houston fees,SITEWORK
Wet Utilities  Water Quality Tank and Outlet Structure,SITEWORK
Site Work,SITEWORK
Truck Court  Ramps  Concrete Paving and Engineering,SITEWORK
Fence,SITEWORK
Sitework Miscellaneous,SITEWORK
Bike Racks,SITEWORK
 Hardscape (incl synthetic turf at yards & putting green and boulders),SITEWORK
Miscellaneous Site Requirements fencing entries etc,SITEWORK
EXTERIOR PRECAST  DOCK PAVEMENT JOINT  SL2 CAULKING,SITEWORK
 Sanitary Sewer ‐ Private,SITEWORK
2 plastic line to divert skimmer water,SITEWORK
 Concrete Patio Knee Wall,SITEWORK
Understory Trees,SITEWORK
Fire Line & Fire Hydrant ,SITEWORK
Exterior Haul Road for Steel,SITEWORK
Sitework  Excavation,SITEWORK
Asphalt,SITEWORK
Landcaping  Clearing  Grading,SITEWORK
Labor to permit and install water tap and meter by Plumber,SITEWORK
Transformer pad 10x10,SITEWORK
 Remove Fence & Erosion Controls at Completion,SITEWORK
Utilities  Water  Sewer,SITEWORK
Utilities  Fire Hydrant,SITEWORK
Sitework Fees and Permits (Moved to Division 1),SITEWORK
LAND DEVELOPMENT  ONSITE,SITEWORK
 Fine Grade,SITEWORK
CLUB  Termite Pretreatment,SITEWORK
Demolition  Abatement,SITEWORK
RETAINING WALLS,SITEWORK
Excavate 2 down and install 48 foundation pad,SITEWORK
Drives  Parking  Sidewalks,SITEWORK
 Miscellaneous Steel (trash enclosure gates bollards light posts),SITEWORK
Medium Evergreen Screen,SITEWORK
Mass Excavation,SITEWORK
Wet Utilities  Wastewater Piping & Structures,SITEWORK
Excavation and Grading,SITEWORK
Crushed Gravel Walk,SITEWORK
Fencing & Gate Control,SITEWORK
OFFSITE,SITEWORK
 Private Yard Fencing,SITEWORK
 Grading and Excavation,SITEWORK
Storm Sewer System & Culverts,SITEWORK
Exterior Signage  Allowance,SITEWORK
Flatwork  Driveway,SITEWORK
Fire Hydrant,SITEWORK
Allowance #15  Rebar Rod System,SITEWORK
Entrance Sign,SITEWORK
Private Yard Fencing,SITEWORK
Site Clearing and Demolition,SITEWORK
Wheel Stops,SITEWORK
 Site Utilities  Sanitary,SITEWORK
Primary Electrical Distribution,SITEWORK
SITE WALL FENCING & RAIL,SITEWORK
Pond Wall Demo and Repair  Allowance,SITEWORK
Demo existing structures,SITEWORK
Large Ornamental Trees,SITEWORK
 Bid Adjustment,SITEWORK
SITE ELECTRICAL,SITEWORK
 Traffic Controls  Lane Closures (Includes 6 months of ROW rental),SITEWORK
 Data  Irrigation Sleeving  Allowance for ERRC & Cell Booster pathway only,SITEWORK
Site Excavation,SITEWORK
Snow Removal and Mud Control  Allowance,SITEWORK
Irrigation Wells & Retention systems,SITEWORK
Naturalized Groundcover  4 pot 9 oc,SITEWORK
Div 2  Sitework Comparable Pricing,SITEWORK
Detention Pond Excavation,SITEWORK
OnSite Work,SITEWORK
Deceleration Lanes (TxDOT),SITEWORK
Contaminated Soils Removal and Disposal,SITEWORK
Site Furnishing,SITEWORK
Misc Site Concrete,SITEWORK
 Perimeter Fence,SITEWORK
Land Development  OffSite,SITEWORK
Hardscape,SITEWORK
Large Shrubs  7 gal 24 oc,SITEWORK
OnSite Concrete Paving,SITEWORK
